cluster;num_sessoes_log;eventos_total_log;dias_ativos_log;recencia;share_categoria_max;share_top2;n_categorias_ativas;entropia_categorias;share_dominante_sem_login;share_dominante_sem_login_sem_outros;soma_transacional;soma_navegacional;login_puro_score;login_com_profundidade_score;Apolices_Seguros;Beneficiarios;Compartilhar_Acesso;Documentos;Extrato_Consulta;Home_Navegacao;Login;Love_Card;Notificacoes;Outros;Pagamento_Financeiro;Perfil_Cadastro;Sinistro_Assistencia;Suporte_Ajuda;NotSet;share_login;share_nao_login;share_outros;% da base;categoria_dominante;share_dominante;categoria_dominante_sem_login;categoria_dominante_sem_login_sem_outros;score_engajamento;persona;descricao
0;1.1144496773062713;3.0029698441499377;1.0508940399818845;10.940074906367041;0.32770612417184125;0.5466284620511835;5.619475655430712;0.6120205725632457;0.205;0.205;0.42352704572417277;0.29500316902479357;0.13342938863174103;0.145002436231728;0.20545253761206028;0.0419061859387896;0.0037925172572007265;0.01729831707715657;0.059454461337699986;0.16973029302678533;0.18978377799670945;0.02539512475731963;0.027201434948940645;0.03369154523038053;0.11671386083562289;0.0694373124364678;0.00929739539665219;0.013142121727064218;0.017703114421150128;0.18978377799670945;0.8102162220032906;0.03369154523038053;27.2;Apolices_Seguros;0.205;Apolices_Seguros;Apolices_Seguros;0.3812308813399744;Multiuso (Apolices_Seguros);Usuários com navegação distribuída e alguma funcionalidade complementar relevante após o login.
1;0.8656349262182507;2.459438393511123;0.8300720338899286;13.618158810503006;0.5769415076443095;0.7683225330185246;3.731097753875356;0.3903907341794397;0.262;0.262;0.5846707903101661;0.12867661282014028;0.07091964428673879;0.11640287119656983;0.25383890052666247;0.036458164504017405;0.00034160943775990855;0.0021615071063557645;0.03277156433749019;0.11914637312926825;0.14506081616684988;0.0016762651045185795;0.007266247077532813;0.0033424749440722663;0.261602160941996;0.00409856656456077;0.0007272630534916698;0.0015939009154369338;0.12991418618998707;0.14506081616684988;0.8549391838331502;0.0033424749440722663;32.2;Pagamento_Financeiro;0.262;Pagamento_Financeiro;Pagamento_Financeiro;-0.17151046711454715;Engajado Financeiro;Usuários com navegação mais distribuída, mas com principal aprofundamento em jornadas financeiras.
2;0.7422036167546292;0.8571447581136143;0.7335874989280928;14.095292766934557;0.9944304001912524;0.9994675169107958;1.0401836969001148;0.00579492148816096;0.002;0.002;0.00025832376578645234;0.0031296853187892416;0.9902895813716965;0.0045825284623939085;0.00025832376578645234;0.0;0.0;0.0;0.0;0.0020898152647793604;0.9944304001912524;0.0;0.00017190886374380667;0.0;0.0;0.0;0.0;0.0010398700540098812;0.002009681860428129;0.9944304001912524;0.005569599808747629;0.0;8.9;Login;0.994;Home_Navegacao;Home_Navegacao;-0.8190942310566632;Acesso Concentrado;Usuários com forte concentração em login, com pouca profundidade nas demais funcionalidades.
3;0.7744585342086323;1.833771397735705;0.754876967093406;14.700289110183103;0.4472339383882689;0.7543600446807533;3.2871827818824286;0.4008349076319217;0.258;0.258;0.2509036867060588;0.2814296872962663;0.25954049489752123;0.21975469506196402;0.19446921916353727;0.005597723980042005;0.00018917086054895242;0.002120043862924761;0.008847048610327838;0.2575060874135353;0.3932365810000263;0.0021097462644769005;0.021031981763225543;0.004563900335663907;0.041989694952151685;0.009484842303185437;0.00024308418140734235;0.010208967452143863;0.04840190785680289;0.3932365810000263;0.6067634189999737;0.004563900335663907;31.7;Login;0.393;Home_Navegacao;Home_Navegacao;-0.5216997112725033;Explorador;Usuários que usam login e circulam pelo app com foco maior em navegação e descoberta.
